,rmindfs,rmaxdfs,rmaxfts,smindfs,smaxdfs,smaxfts,accuracy
0,0.0,0.1,500.0,0.0,0.1,500.0,0.8866050017129153
1,0.0,0.1,500.0,0.0,0.1,1000.0,0.8866050017129153
2,0.0,0.1,500.0,0.0,0.2,500.0,0.8895169578622816
3,0.0,0.1,500.0,0.0,0.2,1000.0,0.8907159986296677
4,0.0,0.1,500.0,0.005,0.1,500.0,0.8836930455635491
5,0.0,0.1,500.0,0.005,0.1,1000.0,0.8836930455635491
6,0.0,0.1,500.0,0.005,0.2,500.0,0.8867762932511134
7,0.0,0.1,500.0,0.005,0.2,1000.0,0.8867762932511134
8,0.0,0.1,1000.0,0.0,0.1,500.0,0.8888317917094896
9,0.0,0.1,1000.0,0.0,0.1,1000.0,0.8888317917094896
10,0.0,0.1,1000.0,0.0,0.2,500.0,0.8927714970880438
11,0.0,0.1,1000.0,0.0,0.2,1000.0,0.8910585817060637
12,0.0,0.1,1000.0,0.005,0.1,500.0,0.8883179170948955
13,0.0,0.1,1000.0,0.005,0.1,1000.0,0.8883179170948955
14,0.0,0.1,1000.0,0.005,0.2,500.0,0.8912298732442617
15,0.0,0.1,1000.0,0.005,0.2,1000.0,0.8912298732442617
16,0.0,0.2,500.0,0.0,0.1,500.0,0.8915724563206577
17,0.0,0.2,500.0,0.0,0.1,1000.0,0.8903734155532717
18,0.0,0.2,500.0,0.0,0.2,500.0,0.894655704008222
19,0.0,0.2,500.0,0.0,0.2,1000.0,0.894313120931826
20,0.0,0.2,500.0,0.005,0.1,500.0,0.8886605001712915
21,0.0,0.2,500.0,0.005,0.1,1000.0,0.8886605001712915
22,0.0,0.2,500.0,0.005,0.2,500.0,0.8902021240150737
23,0.0,0.2,500.0,0.005,0.2,1000.0,0.8902021240150737
24,0.0,0.2,1000.0,0.0,0.1,500.0,0.8931140801644398
25,0.0,0.2,1000.0,0.0,0.1,1000.0,0.8922576224734499
26,0.0,0.2,1000.0,0.0,0.2,500.0,0.8960260363138061
27,0.0,0.2,1000.0,0.0,0.2,1000.0,0.8958547447756081
28,0.0,0.2,1000.0,0.005,0.1,500.0,0.8924289140116478
29,0.0,0.2,1000.0,0.005,0.1,1000.0,0.8924289140116478
30,0.0,0.2,1000.0,0.005,0.2,500.0,0.8960260363138061
31,0.0,0.2,1000.0,0.005,0.2,1000.0,0.8960260363138061
32,0.005,0.1,500.0,0.0,0.1,500.0,0.8866050017129153
33,0.005,0.1,500.0,0.0,0.1,1000.0,0.8866050017129153
34,0.005,0.1,500.0,0.0,0.2,500.0,0.8895169578622816
35,0.005,0.1,500.0,0.0,0.2,1000.0,0.8907159986296677
36,0.005,0.1,500.0,0.005,0.1,500.0,0.8836930455635491
37,0.005,0.1,500.0,0.005,0.1,1000.0,0.8836930455635491
38,0.005,0.1,500.0,0.005,0.2,500.0,0.8867762932511134
39,0.005,0.1,500.0,0.005,0.2,1000.0,0.8867762932511134
40,0.005,0.1,1000.0,0.0,0.1,500.0,0.8888317917094896
41,0.005,0.1,1000.0,0.0,0.1,1000.0,0.8891743747858856
42,0.005,0.1,1000.0,0.0,0.2,500.0,0.8931140801644398
43,0.005,0.1,1000.0,0.0,0.2,1000.0,0.8912298732442617
