,rmindfs,rmaxdfs,rmaxfts,smindfs,smaxdfs,smaxfts,accuracy
0,0.0,0.1,500.0,0.0,0.1,500.0,0.8400137033230558
1,0.0,0.1,500.0,0.0,0.1,1000.0,0.84224049331963
2,0.0,0.1,500.0,0.0,0.2,500.0,0.8485782802329565
3,0.0,0.1,500.0,0.0,0.2,1000.0,0.8537170263788969
4,0.0,0.1,500.0,0.005,0.1,500.0,0.8247687564234327
5,0.0,0.1,500.0,0.005,0.1,1000.0,0.8247687564234327
6,0.0,0.1,500.0,0.005,0.2,500.0,0.8362452894826996
7,0.0,0.1,500.0,0.005,0.2,1000.0,0.8362452894826996
8,0.0,0.1,1000.0,0.0,0.1,500.0,0.8490921548475505
9,0.0,0.1,1000.0,0.0,0.1,1000.0,0.8482356971565604
10,0.0,0.1,1000.0,0.0,0.2,500.0,0.8583418979102432
11,0.0,0.1,1000.0,0.0,0.2,1000.0,0.8615964371360055
12,0.0,0.1,1000.0,0.005,0.1,500.0,0.8348749571771155
13,0.0,0.1,1000.0,0.005,0.1,1000.0,0.8348749571771155
14,0.0,0.1,1000.0,0.005,0.2,500.0,0.8458376156217883
15,0.0,0.1,1000.0,0.005,0.2,1000.0,0.8458376156217883
16,0.0,0.2,500.0,0.0,0.1,500.0,0.842069201781432
17,0.0,0.2,500.0,0.0,0.1,1000.0,0.8442959917780062
18,0.0,0.2,500.0,0.0,0.2,500.0,0.8530318602261048
19,0.0,0.2,500.0,0.0,0.2,1000.0,0.8538883179170949
20,0.0,0.2,500.0,0.005,0.1,500.0,0.8319630010277492
21,0.0,0.2,500.0,0.005,0.1,1000.0,0.8319630010277492
22,0.0,0.2,500.0,0.005,0.2,500.0,0.842069201781432
23,0.0,0.2,500.0,0.005,0.2,1000.0,0.842069201781432
24,0.0,0.2,1000.0,0.0,0.1,500.0,0.8513189448441247
25,0.0,0.2,1000.0,0.0,0.1,1000.0,0.8511476533059267
26,0.0,0.2,1000.0,0.0,0.2,500.0,0.8617677286742035
27,0.0,0.2,1000.0,0.0,0.2,1000.0,0.8650222678999657
28,0.0,0.2,1000.0,0.005,0.1,500.0,0.8393285371702638
29,0.0,0.2,1000.0,0.005,0.1,1000.0,0.8393285371702638
30,0.0,0.2,1000.0,0.005,0.2,500.0,0.8513189448441247
31,0.0,0.2,1000.0,0.005,0.2,1000.0,0.8513189448441247
32,0.005,0.1,500.0,0.0,0.1,500.0,0.8400137033230558
33,0.005,0.1,500.0,0.0,0.1,1000.0,0.84224049331963
34,0.005,0.1,500.0,0.0,0.2,500.0,0.8485782802329565
35,0.005,0.1,500.0,0.0,0.2,1000.0,0.8537170263788969
36,0.005,0.1,500.0,0.005,0.1,500.0,0.8247687564234327
37,0.005,0.1,500.0,0.005,0.1,1000.0,0.8247687564234327
38,0.005,0.1,500.0,0.005,0.2,500.0,0.8362452894826996
39,0.005,0.1,500.0,0.005,0.2,1000.0,0.8362452894826996
40,0.005,0.1,1000.0,0.0,0.1,500.0,0.8489208633093526
41,0.005,0.1,1000.0,0.0,0.1,1000.0,0.8484069886947585
42,0.005,0.1,1000.0,0.0,0.2,500.0,0.8588557725248372
43,0.005,0.1,1000.0,0.0,0.2,1000.0,0.8626241863651936
44,0.005,0.1,1000.0,0.005,0.1,500.0,0.8355601233299075
45,0.005,0.1,1000.0,0.005,0.1,1000.0,0.8355601233299075
46,0.005,0.1,1000.0,0.005,0.2,500.0,0.8458376156217883
47,0.005,0.1,1000.0,0.005,0.2,1000.0,0.8458376156217883
48,0.005,0.2,500.0,0.0,0.1,500.0,0.842069201781432
49,0.005,0.2,500.0,0.0,0.1,1000.0,0.8442959917780062
50,0.005,0.2,500.0,0.0,0.2,500.0,0.8530318602261048
51,0.005,0.2,500.0,0.0,0.2,1000.0,0.8538883179170949
52,0.005,0.2,500.0,0.005,0.1,500.0,0.8319630010277492
53,0.005,0.2,500.0,0.005,0.1,1000.0,0.8319630010277492
54,0.005,0.2,500.0,0.005,0.2,500.0,0.842069201781432
55,0.005,0.2,500.0,0.005,0.2,1000.0,0.842069201781432
56,0.005,0.2,1000.0,0.0,0.1,500.0,0.8513189448441247
57,0.005,0.2,1000.0,0.0,0.1,1000.0,0.8506337786913326
58,0.005,0.2,1000.0,0.0,0.2,500.0,0.8609112709832134
59,0.005,0.2,1000.0,0.0,0.2,1000.0,0.8648509763617678
60,0.005,0.2,1000.0,0.005,0.1,500.0,0.8379582048646796
61,0.005,0.2,1000.0,0.005,0.1,1000.0,0.8379582048646796
62,0.005,0.2,1000.0,0.005,0.2,500.0,0.8506337786913326
63,0.005,0.2,1000.0,0.005,0.2,1000.0,0.8506337786913326
