,rmindfs,rmaxdfs,rmaxfts,smindfs,smaxdfs,smaxfts,accuracy
0,0.0,0.1,500.0,0.0,0.1,300.0,0.7485450118067758
1,0.0,0.1,500.0,0.0,0.1,975.0,0.7574705194589537
2,0.0,0.1,500.0,0.0,0.1,1650.0,0.7575957849516586
3,0.0,0.1,500.0,0.0,0.1,2325.0,0.757835399613309
4,0.0,0.1,500.0,0.0,0.1,3000.0,0.756766003589815
5,0.0,0.1,500.0,0.0,0.2,300.0,0.7495756351135073
6,0.0,0.1,500.0,0.0,0.2,975.0,0.7580489588914945
7,0.0,0.1,500.0,0.0,0.2,1650.0,0.7569966656144557
8,0.0,0.1,500.0,0.0,0.2,2325.0,0.7570795017173163
9,0.0,0.1,500.0,0.0,0.2,3000.0,0.7559946400213707
10,0.0,0.1,500.0,0.0,0.30000000000000004,300.0,0.7495756351135073
11,0.0,0.1,500.0,0.0,0.30000000000000004,975.0,0.7580489588914945
12,0.0,0.1,500.0,0.0,0.30000000000000004,1650.0,0.7569966656144557
13,0.0,0.1,500.0,0.0,0.30000000000000004,2325.0,0.7570795017173163
14,0.0,0.1,500.0,0.0,0.30000000000000004,3000.0,0.7559946400213707
15,0.0,0.1,500.0,0.0,0.4,300.0,0.7495756351135073
16,0.0,0.1,500.0,0.0,0.4,975.0,0.7580489588914945
17,0.0,0.1,500.0,0.0,0.4,1650.0,0.7569966656144557
18,0.0,0.1,500.0,0.0,0.4,2325.0,0.7570795017173163
19,0.0,0.1,500.0,0.0,0.4,3000.0,0.7559946400213707
20,0.0,0.1,500.0,0.0,0.5,300.0,0.7495756351135073
21,0.0,0.1,500.0,0.0,0.5,975.0,0.7580489588914945
22,0.0,0.1,500.0,0.0,0.5,1650.0,0.7569966656144557
23,0.0,0.1,500.0,0.0,0.5,2325.0,0.7570795017173163
24,0.0,0.1,500.0,0.0,0.5,3000.0,0.7559946400213707
25,0.0,0.1,500.0,0.0,0.6,300.0,0.7495756351135073
26,0.0,0.1,500.0,0.0,0.6,975.0,0.7580489588914945
27,0.0,0.1,500.0,0.0,0.6,1650.0,0.7569966656144557
28,0.0,0.1,500.0,0.0,0.6,2325.0,0.7570795017173163
29,0.0,0.1,500.0,0.0,0.6,3000.0,0.7559946400213707
30,0.0,0.1,500.0,0.0125,0.1,300.0,0.7323605224984402
31,0.0,0.1,500.0,0.0125,0.1,975.0,0.7323605224984402
32,0.0,0.1,500.0,0.0125,0.1,1650.0,0.7323605224984402
33,0.0,0.1,500.0,0.0125,0.1,2325.0,0.7323605224984402
34,0.0,0.1,500.0,0.0125,0.1,3000.0,0.7323605224984402
35,0.0,0.1,500.0,0.0125,0.2,300.0,0.7317557855861445
36,0.0,0.1,500.0,0.0125,0.2,975.0,0.7317557855861445
37,0.0,0.1,500.0,0.0125,0.2,1650.0,0.7317557855861445
